gutenberg_id,text
1514,BOTTOM
1514,Let me play the lion too: I will roar that I will do
1514,any man's heart good to hear me; I will roar that I will make the
1514,"duke say 'Let him roar again, let him roar again.'"
1514,
1514,QUINCE
1514,"An you should do it too terribly, you would fright the"
1514,"duchess and the ladies, that they would shriek; and that were"
1514,enough to hang us all.
1514,
1514,ALL
1514,That would hang us every mother's son.
1514,
1514,BOTTOM
1514,"I grant you, friends, if you should fright the ladies"
1514,"out of their wits, they would have no more discretion but to hang"
1514,"us: but I will aggravate my voice so, that I will roar you as"
1514,gently as any sucking dove; I will roar you an 'twere any
1514,nightingale.
1514,
1514,QUINCE
1514,You can play no part but Pyramus; for Pyramus is a
1514,"sweet-faced man; a proper man, as one shall see in a summer's"
1514,day; a most lovely gentleman-like man; therefore you must
1514,needs play Pyramus.
1514,
1514,BOTTOM
1514,"Well, I will undertake it. What beard were I best to play it in?"
1514,
1514,QUINCE
1514,"Why, what you will."
1514,
1514,BOTTOM
1514,"I will discharge it in either your straw-colour beard,"
1514,"your orange-tawny beard, your purple-in-grain beard, or your"
1514,"French-crown-colour beard, your perfect yellow."
1514,
1514,QUINCE
1514,"Some of your French crowns have no hair at all, and"
1514,"then you will play bare-faced.-- But, masters, here are your"
1514,"parts: and I am to entreat you, request you, and desire you, to"
1514,"con them by to-morrow night; and meet me in the palace wood, a"
1514,"mile without the town, by moonlight; there will we rehearse: for"
1514,"if we meet in the city, we shall be dogg'd with company, and our"
1514,"devices known. In the meantime I will draw a bill of properties,"
1514,"such as our play wants. I pray you, fail me not."
1514,
1514,BOTTOM
1514,We will meet; and there we may rehearse most obscenely
1514,and courageously. Take pains; be perfect; adieu.
1514,
1514,QUINCE
1514,At the duke's oak we meet.
1514,
1514,BOTTOM
1514,"Enough; hold, or cut bow-strings."
1514,
1514,[Exeunt.]
1514,
1514,
1514,ACT II.
1514,
1514,
1514,SCENE I. A wood near Athens.
1514,
1514,"[Enter a FAIRY at One door, and PUCK at another.]"
1514,
1514,PUCK
1514,"How now, spirit! whither wander you?"
1514,
1514,FAIRY
1514,"    Over hill, over dale,"
1514,"      Thorough bush, thorough brier,"
1514,"    Over park, over pale,"
1514,"      Thorough flood, thorough fire,"
1514,"    I do wander everywhere,"
1514,    Swifter than the moon's sphere;
1514,"    And I serve the fairy queen,"
1514,    To dew her orbs upon the green.
1514,    The cowslips tall her pensioners be:
1514,    In their gold coats spots you see;
1514,"    Those be rubies, fairy favours,"
1514,    In those freckles live their savours;
1514,"I must go seek some dew-drops here,"
1514,And hang a pearl in every cowslip's ear.
1514,"Farewell, thou lob of spirits; I'll be gone:"
1514,Our queen and all her elves come here anon.
1514,
1514,PUCK
1514,The king doth keep his revels here to-night;
1514,Take heed the Queen come not within his sight.
1514,"For Oberon is passing fell and wrath,"
1514,"Because that she, as her attendant, hath"
1514,"A lovely boy, stol'n from an Indian king;"
1514,She never had so sweet a changeling:
1514,And jealous Oberon would have the child
1514,"Knight of his train, to trace the forests wild:"
1514,"But she perforce withholds the loved boy,"
1514,"Crowns him with flowers, and makes him all her joy:"
1514,"And now they never meet in grove or green,"
1514,"By fountain clear, or spangled starlight sheen,"
